cities,latitude,longitude,shootings
Chicago,41.878114,-87.629798,5
Las Vegas,36.181271,-115.134132,5
Seattle,47.62199575,-122.323646,5
Killeen,31.07925506,-97.73392317,4
Los Angeles,34.052234,-118.243685,4
New Orleans,30.0687242,-89.93147412,4
Phoenix,33.57145875,-112.0904854,4
Albuquerque,35.085334,-106.605553,3
Atlanta,33.748995,-84.387982,3
Cleveland,41.47657557,-81.68051502,3
Dallas,32.776664,-96.796988,3
Jacksonville,27.950575,-82.457178,3
Memphis,35.149534,-90.04898,3
Miami,26.640628,-81.872308,3
Omaha,41.3138,-96.0814,3
Orlando,28.538335,-81.379236,3
San Diego,32.86357277,-117.1281628,3
San Francisco,37.774929,-122.419416,3
Tucson,32.15358905,-110.9677647,3
Aurora,39.709283,-104.823488,2
Belfair,47.5033,-122.931,2
Birmingham,33.5282865,-86.79550448,2
Brookfield,43.06396691,-88.12299758,2
Carthage,35.345802,-79.4170543,2
Colorado Springs,38.833882,-104.821363,2
Columbus,39.98861445,-82.98904135,2
Detroit,42.331427,-83.045754,2
Fort Hood,31.195001,-97.741314,2
Fort Lauderdale,26.122439,-80.137317,2
Fort Worth,29.785785,-95.824396,2
Geneva,34.16204,-86.475543,2
Glendale,33.448377,-112.074037,2
Hesston,38.138344,-97.431427,2
Houston,29.79705548,-95.36763856,2
Kansas City,39.114053,-94.627464,2
Lafayette,30.22409,-92.019843,2
Lakeland,43.16103,-77.610922,2
Louisville,38.252665,-85.758456,2
Manchester,39.54231335,-90.33029852,2
Menasha,44.202208,-88.446497,2
Mesa,33.42268696,-111.8163202,2
Milwaukee,43.06420322,-87.96724385,2
Minneapolis,44.96358722,-93.26783687,2
Pittsburgh,40.440625,-79.995886,2
Riverside,33.997197,-117.48548,2
San Bernardino,34.108345,-117.289765,2
Tampa,27.950575,-82.457178,2
Tulsa,36.13543238,-95.91316117,2
Aiken,33.47524551,-81.72595949,1
Alturas,41.4911123,-120.549091,1
Amarillo,35.18322484,-101.8805688,1
Arvada,39.81087474,-105.173715,1
Auburn,32.60598014,-85.48989253,1
Austin,30.1988873,-97.84415949,1
Baton Rouge,30.458283,-91.14032,1
Bethel,60.79053882,-161.7927517,1
Binghamton,42.0986867,-75.9179738,1
Birchwood,45.65773714,-91.55077175,1
Blacksburg,37.2295733,-80.4139393,1
Branson,38.77144,-90.370949,1
Bristol,36.55605824,-82.21429551,1
Brookhaven,31.58036482,-90.44323475,1
Brookline,42.32427392,-71.14080012,1
Brooklyn,40.679276,-73.939513,1
Burlington,36.281187,-94.148752,1
Carnation,47.64628742,-121.9088524,1
Caroline County,38.044556,-77.286488,1
Carson City,39.1637984,-119.7674034,1
Chapel Hill,35.92681467,-79.03850407,1
Chardon,41.58025541,-81.20812625,1
Charleston,32.788387,-79.933143,1
Charlotte,35.226354,-80.836788,1
Chattanooga,35.09318123,-85.23676751,1
Chelsea,42.391764,-71.032828,1
Chesapeake,36.7921,-76.3293,1
Clarkesville,34.61025711,-83.52918091,1
Clearbrook (Greenwood),47.69618799,-95.42844094,1
Colerain Township,39.253268,-84.599655,1
Columbia,34.05098834,-80.82077527,1
Conway,35.08130744,-92.43278275,1
Conyers,33.66086267,-84.02688527,1
Corpus Christi,27.73907518,-97.43073352,1
Cottonwood,31.0549687,-85.30100084,1
Covina,34.09026669,-117.8819958,1
Crandon,45.5719072,-88.9028922,1
Dana Point,33.47316083,-117.696399,1
Daytona Beach,29.19313443,-81.10173014,1
Dearborn,42.31269522,-83.21293244,1
Decatur,39.85566372,-88.93346458,1
Deer Lodge,46.39761858,-112.7329333,1
DeKalb,41.9294736,-88.7503647,1
Douglasville,33.71059292,-84.71564276,1
Edgewood,39.418719,-76.294402,1
Edinboro,41.87617136,-80.12459632,1
Edmond,35.66889223,-97.41438792,1
Elberton,34.111223,-82.867084,1
Escondido,33.13439925,-117.0722528,1
Essex Junction,44.49022039,-73.11400628,1
Fairchild Air Force Base,47.618456,-117.644099,1
Fayetteville,35.07997086,-79.03796125,1
Federal Way,47.30909721,-122.3357553,1
Ferguson,38.744217,-90.305391,1
Flagstaff,35.1725658,-111.6585435,1
Forestville,38.845113,-76.874972,1
Fort Gibson,35.77669911,-95.25996596,1
Fresno,36.746842,-119.772587,1
Fullerton,33.88404244,-117.92785,1
Galveston,29.209684,-99.786168,1
Garden City,40.72662266,-73.644712,1
Gates,43.15693027,-77.69300856,1
Gloucester County,37.40264,-76.458559,1
Goddard,37.67129418,-97.55070476,1
Goleta,34.43606107,-119.8593619,1
Grand Rapids,42.96920434,-85.66008902,1
Great Barrington,42.19358268,-73.36216339,1
Greenhill,34.759257,-86.602493,1
Greenville,33.02912644,-84.7143335,1
Greenwood,34.1928952,-82.15355508,1
Gresham,45.50216511,-122.4412759,1
Grundy,37.27537712,-82.09877234,1
Halifax County,36.765971,-78.928344,1
Happy Valley,45.44853107,-122.5440133,1
Henderson,37.84040411,-87.57853755,1
Hialeah,25.8670105,-80.29146268,1
Hillsborough,36.04099857,-79.09701201,1
Honolulu,21.3255125,-157.8473055,1
Huntsville,34.72827538,-86.6723055,1
Indianapolis,39.77725479,-86.14635359,1
Inglis,29.03270634,-82.65919302,1
Iowa City,41.65589405,-91.53117986,1
Irvine,33.67803464,-117.773628,1
Iuka,34.7404,-88.1383,1
Johnston,33.83272887,-81.8051584,1
Jonesboro,35.8209895,-90.6682606,1
Kalamazoo ,42.291707,-85.587229,1
Kalamazoo County,42.227835,-85.520024,1
Kennesaw,34.02529674,-84.61766831,1
King,36.27617912,-80.35501402,1
Kirkersville,39.959508,-82.595718,1
Kirkwood,38.57889169,-90.42023754,1
Ladera Ranch,33.54961059,-117.6415707,1
LaGrange,33.03607062,-85.0287065,1
Lakewood,47.16267579,-122.5296574,1
Lancaster County,39.9589,-76.0806,1
Lansing,43.201126,-86.238946,1
Lawrenceburg,35.242302,-87.334739,1
Lewistown,47.03740653,-109.4844918,1
Little Water,36.44329,-108.723281,1
Littleton,39.59358263,-105.0152112,1
Long Beach,33.77005,-118.193739,1
Louisburg,36.099039,-78.301106,1
Louisville,38.249432,-85.726243,1
Lynnville,35.37810374,-87.00610559,1
Marysville,48.04802409,-122.1359622,1
Melrose Park,41.90289602,-87.8643021,1
Meridian,32.376081,-88.68978002,1
Miami Gardens,25.94326707,-80.24253243,1
Mohawk,43.0104011,-75.0075119,1
Monroeville,40.4257455,-79.76092565,1
Montclair,40.826184,-74.20862,1
Montgomery,32.34729571,-86.26730242,1
Morgantown,39.63400851,-79.94839325,1
Morven,34.86379864,-79.9996781,1
Moscow,46.73059479,-116.9990042,1
Moses Lake,47.12189424,-119.2750699,1
Naples,30.754181,-86.572799,1
New Port Richey,28.24653304,-82.71690259,1
New York City,40.68996411,-73.8720502,1
Newark,40.73169648,-74.18417699,1
Newington,41.68700845,-72.73083927,1
Newtown,41.41190846,-73.31196267,1
Nickel Mines,40.04214385,-76.30100872,1
Norcross,33.9412127,-84.2135309,1
Oak Creek,42.88027442,-87.90087079,1
Oakland,44.54994725,-69.70782299,1
Oakland,37.8043808,-122.2708166,1
Ogden,41.2281367,-111.9675317,1
Oklahoma City,35.46779189,-97.5191631,1
Olean,42.08185369,-78.43213922,1
Olivehurst,39.08174985,-121.5549539,1
Orange,33.78935598,-117.820412,1
